faq_type,intent,fist_title,second_title,third_title,question,answer
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,"Cet été, pendant les vacances, je prête ma voiture à un ami. Sera-t-il assuré ?","Oui. Votre contrat d'assurance auto Vam s'applique lorsque, à titre occasionnel et pour des déplacements privés, vous prêtez le véhicule assuré par MAIF. Ainsi, en cas d'accident, votre ami bénéficiera du contrat que vous avez souscrit. Si vous avez souscrit le contrat Pacs, votre ami bénéficiera d'une indemnisation renforcée au titre des dommages corporels. NB : Si votre ami est responsable de l'accident, nous serons contraints de vous appliquer les règles du bonus-malus. De même, si vous avez souscrit la garantie Dommages tous accidents, vous garderez la franchise à votre charge. "
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Ma fille entame ses études. Quelles formalités dois-je accomplir pour assurer sa voiture ?,"Si vous lui achetez un véhicule, n'oubliez surtout pas de la déclarer ""conducteur principal"". Cette déclaration est obligatoire si votre fille conduit régulièrement le même véhicule ; en cas de manquement à cette obligation, une sanction pour fausse déclaration est applicable, conformément aux dispositions du code des assurances. Cette déclaration en qualité de conducteur principal présente un avantage pour votre fille, son expérience réelle va être prise en considération pour le calcul de la clause de réduction/majoration (bonus/malus), et elle pourra ainsi s'en prévaloir lorsqu'elle s'assurera personnellement. Votre fille pourra rester sur votre contrat en tant qu'enfant à charge jusqu'à 28 ans si elle est encore étudiante et si elle n'a pas de revenus."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Je viens de déménager. Quelles sont les démarches à faire pour mon véhicule ?,"Vous avez un mois pour déclarer votre changement de domicile auprès de la préfecture et mettre à jour votre carte grise. Les démarches se font en ligne. Plus d’infos sur les démarches : Si vous déménagez, pensez à prévenir au plus vite la MAIF du changement de situation. Vous recevrez votre carte verte actualisée. Votre prochain avis d'échéance vous parviendra automatiquement à votre nouvelle adresse. La mise à jour de votre carte grise est également nécessaire si vous vous mariez. Pensez-y !"
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,L'un de mes véhicules ne sert pas. Il reste au garage. Faut-il que je l'assure ?,"Oui. En matière d’assurance auto, la législation française est inflexible : selon l’article L211-1 du Code des assurances, tout « véhicule terrestre à moteur » doit obligatoirement être couvert par un contrat incluant une garantie responsabilité civile. Cette assurance couvre les dommages corporels et matériels causés à autrui en cas d’accident responsable. Même immobilisée dans un garage, une voiture est susceptible d’occasionner de nombreux dégâts comme un incendie ou une explosion. Pire encore, en cas de vol du véhicule, les dommages provoqués par le malfaiteur pourraient vous être imputés."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Combien de personnes puis-je transporter dans ma Clio ?,"Vous pouvez transporter dans votre voiture autant de passagers qu'indiqué sur votre carte grise (ex : 5 places = 4 passagers plus le conducteur). Tous les passagers sont couverts par votre contrat Auto VAM. Si vous avez souscrit le contrat PACS, vos passagers bénéficieront comme vous d’une indemnisation renforcée au titre des dommages corporels (hors prêt de volant). Lorsque vous transportez des personnes dans votre véhicule, pensez à leur sécurité avant tout : en voiture, la ceinture de sécurité c’est automatique ! A l’avant comme à l’arrière, ce dispositif vous maintient et vous protège. Si vous transportez des enfants, vous devez les installer dans un dispositif de retenue, homologué aux normes européennes de sécurité, et adapté à leur âge, à leur taille et à leur poids."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Comment sont garantis les objets transportés dans mon véhicule ?,"Si vous êtes souscripteur d’une assurance habitation MAIF, il se peut que vos "" objets transportés "" soient déjà garantis par ce contrat. Tout dépend du niveau de couverture choisi. Au besoin et pour améliorer vos garanties, vous pouvez souscrire en plus l’option "" objets transportés "", proposée avec toutes les formules du contrat VAM. Cette option couvre les objets transportés dans ou sur le véhicule, pour lequel l’option a été souscrite. Deux plafonds au choix, à savoir 1750 € ou 5000 €, selon la valeur des biens que vous transportez. Renseignez-vous !"
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Je voudrais mettre ma voiture en location. Comment ça se passe côté assurance ?,"La MAIF favorise l’auto-partage. Si vous passez par notre partenaire (Wheeliz), vous n’avez aucune démarche d’assurance à effectuer. Votre véhicule et les passagers seront automatiquement couverts par la MAIF. Ils bénéficient de la meilleure couverture MAIF (Vam Plénitude) pendant toute la durée de la location, services d’assistance compris. En cas d’accident lors d’une location, vous n’aurez aucun frais à supporter et votre bonus sera préservé."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Je fais installer des sièges arrière dans ma voiture de société. Faut-il une autorisation ?,"Oui, vous devez obtenir une attestation de la part d’un garage agréé par le constructeur. Vous aurez ensuite à effectuer le changement de carte grise sur le site de la préfecture (démarches en ligne). Les modalités d’aménagement du véhicule varient en fonction de la marque : dans certains cas, il est possible de faire vous-même les aménagements (ajout d’une banquette, de ceinture de sécurité, etc.). Vous présentez votre véhicule transformé et le constructeur se contente de vérifier la conformité de l’installation. Par contre, d’autres constructeurs imposent l’achat de matériel neuf dans le réseau. La stratégie la plus sage consiste donc à vous renseigner auprès du constructeur AVANT d’acheter un véhicule de société dans l’idée de le transformer. Pour vous éviter de mauvaises surprises..."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,Suis-je autorisé à transporter mon enfant de 4 ans à l'arrière de ma mobylette ?,"Vous pouvez transporter un enfant de 4 ans sur un cyclomoteur de moins de 50 cm3 sous réserve qu'il soit installé sur un siège homologué avec des repose-pieds intégrés et réglables, et doté d’une ceinture et d’une poignée. Quant à l’équipement, votre enfant doit porter un casque de moto intégral spécifique pour enfants et obligatoirement homologué CE 22-05, et porter une tenue de protection complète, qui couvre l’ensemble du corps. Les articulations doivent être particulièrement protégées à l’aide de protections amovibles (coudières, genouillères, protège-tibias). Votre enfant doit également avoir les pieds et les chevilles protégés : bottes ou bottines renforcées, chaussures montantes, ou de randonnée. Enfin, il est important de prendre le temps d’expliquer à votre enfant comment il doit se comporter derrière vous : lui préciser la position qu’il doit adopter, et lui montrer où il peut se tenir."
pratique,vehicule/assurance,FAQ Assurance et Vie pratique,Mon véhicule,Assurance,"Mon fils, âgé de 14 ans, veut conduire un cyclomoteur de moins de 50 cm3. Quelle est la réglementation concernant la conduite de ces engins ?","Pour conduire un cyclomoteur, votre fils doit être détenteur du permis AM (Ex BSR). Il se compose d’une partie théorique et d’une partie pratique. La formation théorique, dispensée en deux temps au collège, porte sur les règles de la sécurité routière. La formation pratique se réalise avec une auto-école ou une association d’insertion ou réinsertion sociale ou professionnelle agréée par le préfet. Pendant 7 heures, l’élève apprend à circuler sur la route et appréhende les différentes situations auxquelles il sera confronté. A l’issue de cette formation, l’auto-école délivre au jeune une attestation de suivi. Pour obtenir son permis AM, il sera nécessaire ensuite de se rapprocher de la Préfecture de son domicile."
